Start
arrays,array
Copy
2854,8589318451072
19663,500749839943
53953,984904594945
70118,6959800224
61467,84318743745
61694,01988875562
35723,797733529966
19344,37707708865
24265,394085900305

Scale
2798,76758673063
19771,310325786842
52301,03653998153
61541,19949801329
59411,261857748184
59716,88897180918
54821,24230599837
35342,28581553781
23287,417813614382

Add
3923,9304988136623
23939,35956804975
48160,49498770531
54669,935492469886
52471,30186664287
49804,057345612564
50576,64339066211
38225,91407747856
26951,65653979862

Triad
4160,011739270569
24666,601456778462
48895,68193001331
54719,7398608957
52160,25664950278
51609,4668061304
53828,95396228221
48297,61811391275
28287,91484462163

